,flight_number,airline_code,departure_airport,arrival_airport,flighthistory_id,aircraft_id,original_departure_utc,published_dept_time,published_arr_time,present_condition,dewpoint,temperature,visibility,wind_speed,knots,bearing,altitude,callsign,ground_speed,latitude_degrees,longitude_degrees
20,814.0,VX,LAX,LAS,306443562.0,SWA4O7,2013-08-19 19:15:00+00,18:20:00,19:30:00,Light Drizzle,46.0,62.0,5.9,3.45,3.45,190.0,39000.0,ASQ5154,464,33.70000076,-95.23000336
21,422.0,MQ,CLT,ORD,306313298.0,UAL1571,2013-08-18 20:42:00+00,00:45:00,02:50:00,Haze,30.0,41.0,6.21,1.15,1.15,300.0,17356.29723,ASQ4992,357,32.77999878,-83.16999817
22,534.0,OO,LAX,SAN,306544544.0,SKW6289,2013-08-21 01:50:00+00,23:20:00,00:05:00,Mist,50.0,53.0,9.0,10.36,10.36,200.0,12000.0,DAL2474,222,33.61999893,-84.83000183
23,305.0,DL,ORD,MSP,306163188.0,TCF3583,2013-08-17 01:24:00+00,14:04:00,15:36:00,Rain,66.0,87.0,6.21,10.36,10.36,90.0,17356.29723,SWA531,200,36.02000046,-114.9499969
24,13.0,9E,DTW,MDW,306523044.0,SWA614,2013-08-20 14:00:00+00,16:00:00,17:17:00,Mist,35.0,87.0,5.9,10.36,10.36,170.0,17356.29723,SKW6343,158,33.59999847,-117.8799973
25,1751.0,MQ,RDU,LGA,306467806.0,EGF3210,2013-08-19 10:00:00+00,10:00:00,11:29:00,Haze,66.0,75.0,5.9,10.36,10.36,990.0,17356.29723,SWA11,456,31.43000031,-94.16999817
26,5002.0,DL,DCA,DTW,306416980.0,DAL1545,2013-08-19 10:59:00+00,13:40:00,15:12:00,Rain,44.0,98.0,10.0,4.6,4.6,350.0,17356.29723,SWA4500,370,33.90000153,-116.7699966
27,3972.0,AA,MIA,LGA,306552882.0,DAL2098,2013-08-20 20:55:00+00,13:55:00,16:55:00,Mist,15.0,69.0,10.0,0.0,0.0,300.0,17356.29723,SKW6417,257,34.34999847,-119.5
28,1434.0,VX,SFO,SEA,306471822.0,ASA305,2013-08-19 17:40:00+00,03:10:00,05:10:00,Mist,50.0,109.0,6.21,8.06,8.06,320.0,17356.29723,SKW4532,476,35.20000076,-119.5999985
29,907.0,EV,GRK,DFW,306529881.0,ASQ2569,2013-08-20 19:20:00+00,19:20:00,20:10:00,Mist,41.0,68.0,6.21,4.6,4.6,180.0,17356.29723,NGF748,126,33.40000153,-117.1500015
30,2704.0,AA,DCA,ORD,306317187.0,TCF3571,2013-08-18 11:00:00+00,21:35:00,23:50:00,Thunderstorm reported recently,60.0,82.0,10.0,10.36,10.36,320.0,17356.29723,SWA2789,433,35.38000107,-119.1299973
31,3381.0,AA,ORD,LGA,306459983.0,TCF3454,2013-08-19 17:17:00+00,11:40:00,13:50:00,Light Rain,46.0,57.0,5.9,4.6,4.6,330.0,17356.29723,AAL1063,437,36.63000107,-109.6999969
32,1587.0,MQ,ORD,TUL,306580700.0,EGF3241,2013-08-20 16:50:00+00,19:30:00,21:15:00,Light Rain,53.0,62.0,10.0,8.06,8.06,230.0,17356.29723,ASA478,464,38.77999878,-120.7300034
33,52.0,G7,RDU,LGA,306365398.0,ASQ4982,2013-08-18 22:25:00+00,15:05:00,16:44:00,Haze,77.0,87.0,5.9,19.56,19.56,300.0,17356.29723,JIA4688,240,42.81999969,-71.58000183
34,870.0,OO,LAX,SBA,306342774.0,SKW2694,2013-08-19 04:50:00+00,03:25:00,04:10:00,Light Rain Showers,71.0,78.0,10.0,0.0,0.0,300.0,17356.29723,UAL1432,407,35.97999954,-111.1699982
35,1083.0,EV,ATL,IAD,306501128.0,ASH3769,2013-08-20 23:18:00+00,11:25:00,13:10:00,Mist,46.0,53.0,10.0,6.9,6.9,210.0,17356.29723,SKW4846,413,39.16999817,-111.1500015
36,1063.0,DL,LGA,ATL,306545479.0,TRS348,2013-08-20 17:10:00+00,18:59:00,21:37:00,Mist,51.0,55.0,8.06287664,8.06,8.06,260.0,24000.0,UAL722,446,45.68000031,-118.1699982
37,188.0,VX,LAX,SFO,306544654.0,SWA1270,2013-08-20 17:10:00+00,20:10:00,21:25:00,Light Rain,44.0,53.0,9.0,0.0,0.0,340.0,17356.29723,SWA579,425,42.04999924,-108.7200012
38,7270.0,AX,STL,ORD,306358405.0,GJS3632,2013-08-18 22:54:00+00,15:31:00,16:40:00,Light Rain,55.0,69.0,10.0,8.06,8.06,990.0,17356.29723,SKW4853,487,37.77999878,-120.0
39,2708.0,DL,LAS,LAX,306543684.0,SWA2787,2013-08-20 19:55:00+00,18:10:00,19:29:00,Light Rain,77.0,84.0,6.21,17.9,17.9,120.0,17356.29723,UAL1654,448,33.81999969,-110.6299973
40,1528.0,EV,ATL,GSP,306501080.0,DAL1046,2013-08-21 01:56:00+00,20:51:00,21:52:00,Light Rain,73.0,75.0,10.0,0.0,0.0,200.0,17356.29723,DAL121O,508,41.97999954,-108.2200012
41,669.0,OO,DTW,MKE,306523063.0,SKW4465,2013-08-21 01:48:00+00,01:48:00,02:59:00,Haze,59.0,62.0,15.0,0.0,0.0,230.0,17356.29723,AAR268,473,40.77999878,-111.8499985
42,3325.0,AA,DFW,DEN,306418752.0,AAL1O69,2013-08-20 03:35:00+00,01:20:00,03:20:00,Mist,46.0,107.0,5.9,18.41,18.41,340.0,17356.29723,GJS3706,410,44.22999954,-76.0
43,2044.0,EV,ATL,FAY,306501008.0,ASQ5263,2013-08-21 01:46:00+00,15:00:00,16:22:00,Mist,53.0,55.0,10.0,5.75,5.75,300.0,17356.29723,JBU63,398,46.90000153,-103.5500031
44,5072.0,DL,ORD,MSP,306560317.0,GJS3615,2013-08-21 00:10:00+00,22:06:00,23:40:00,Thunderstorm Rain,60.0,66.0,5.9,8.06,8.06,310.0,17356.29723,SWA4195,295,43.75,-116.25
45,4000.0,AA,SFO,LAX,306443891.0,SKW4601,2013-08-19 16:00:00+00,21:55:00,23:20:00,Thunderstorm reported recently,73.0,86.0,5.9,9.21,9.21,90.0,17356.29723,AAY8501,465,40.79999924,-112.5199966
46,765.0,DL,ATL,DEN,306300100.0,DAL1335,2013-08-18 23:05:00+00,17:44:00,20:58:00,Thunderstorm Rain in the vicinity,46.0,51.0,7.0,9.21,9.21,270.0,17356.29723,AAL1656,432,38.40000153,-116.0199966
47,242.0,MQ,LGA,RDU,306445274.0,GJS6193,2013-08-19 12:30:00+00,12:15:00,13:55:00,Showers in the vicinity,46.0,71.0,10.0,6.9,6.9,280.0,17356.29723,SWA1443,429,43.77999878,-102.0199966
48,5451.0,VX,SEA,LAX,306470930.0,ASA458,2013-08-19 21:45:00+00,14:05:00,16:40:00,Light Rain,68.0,75.0,10.0,6.9,6.9,310.0,17356.29723,UAL1O3,414,39.02999878,-113.6699982
49,5942.0,DL,CMH,ATL,306514962.0,DAL2197,2013-08-20 10:00:00+00,11:15:00,12:44:00,Light Rain Showers,53.0,107.0,6.21,16.11,16.11,160.0,17356.29723,SKW5578,429,38.58000183,-114.2300034
50,233.0,DL,HOU,ATL,306332483.0,TRS631,2013-08-18 22:17:00+00,23:00:00,01:01:00,Mist,46.0,46.0,10.0,0.0,0.0,250.0,24000.0,SKW6485,368,43.47000122,-115.5800018
51,3857.0,OO,LAX,SFO,306544615.0,UAL444,2013-08-20 21:00:00+00,20:00:00,21:23:00,Mist,53.0,64.0,10.0,9.21,9.21,320.0,17356.29723,DAL32O,431,37.41999817,-107.1500015
52,4375.0,DL,MEM,ATL,306551694.0,DAL1907,2013-08-20 11:00:00+00,12:15:00,13:46:00,Haze,53.0,57.0,10.0,4.6,4.6,250.0,17356.29723,SWA4185,421,44.5,-102.8799973
53,2708.0,DL,RIC,ATL,306268001.0,TRS542,2013-08-17 21:01:00+00,20:40:00,22:20:00,Rain,44.0,50.0,10.0,6.9,6.9,310.0,18000.0,UAL398,418,38.47000122,-114.9800034
54,2405.0,AA,ORD,LGA,306459964.0,AAL366,2013-08-19 18:10:00+00,16:30:00,18:40:00,Mist,48.0,66.0,10.0,10.36,10.36,130.0,17356.29723,ASA679,420,45.63000107,-117.9199982
55,4567.0,VX,LAX,LAS,306442804.0,SWA168,2013-08-19 13:20:00+00,01:50:00,03:00:00,Mist,48.0,75.0,5.9,8.06,8.06,310.0,17356.29723,AAL1628,413,47.22999954,-110.5299988
56,5012.0,DL,EWR,ATL,306323829.0,DAL2142,2013-08-18 23:50:00+00,14:30:00,16:40:00,Mist,48.0,73.0,10.0,4.6,4.6,990.0,17356.29723,UAL688,498,39.40000153,-112.1999969
57,1891.0,DL,PIT,LGA,306564821.0,ASQ5140,2013-08-20 21:02:00+00,10:30:00,11:52:00,Light Rain,69.0,96.0,5.9,17.26,17.26,260.0,17356.29723,DAL1751,439,38.20000076,-110.7699966
58,866.0,AA,ORD,LGA,306445191.0,TCF352O,2013-08-19 20:10:00+00,18:20:00,20:35:00,Light Rain,48.0,86.0,6.21,5.75,5.75,210.0,17356.29723,DAL15O9,338,33.33000183,-84.93000031
59,657.0,US,DCA,BOS,306316942.0,JBU89O,2013-08-18 22:09:00+00,21:30:00,23:04:00,Mist,55.24135887,69.7258681,8.06287664,4.6,4.6,280.0,17356.29723,AWE1859,455,35.56999969,-84.62000275
60,901.0,VX,SFO,LAS,306571443.0,SWA1O28,2013-08-20 16:35:00+00,21:40:00,23:10:00,Light Rain,75.0,84.0,5.9,6.9,6.9,200.0,17356.29723,DAL2141,282,33.63000107,-84.12999725
61,4580.0,VX,LAS,LAX,306341860.0,SWA808,2013-08-18 23:55:00+00,03:40:00,04:50:00,Mist,77.0,95.0,10.0,5.75,5.75,320.0,17356.29723,ASA27,429,44.47000122,-112.6800003
62,1170.0,AA,ATL,DFW,306399015.0,ASQ5341,2013-08-19 10:25:00+00,23:15:00,01:35:00,Light Rain,68.0,82.0,5.9,10.36,10.36,70.0,30000.0,DAL2348,489,41.70000076,-107.6800003
63,918.0,CP,LGA,BUF,306444879.0,GJS6188,2013-08-19 21:25:00+00,23:20:00,00:55:00,Light Rain Showers,51.0,68.0,5.0,6.9,6.9,990.0,17356.29723,UAL1549,417,38.11999893,-116.4700012
64,4248.0,DL,BOS,JFK,306507228.0,JBU917,2013-08-20 09:51:00+00,11:11:00,12:30:00,Mist,53.0,60.0,8.06287664,1.15,1.15,290.0,17356.29723,UAL1486,467,38.83000183,-116.4000015
65,4850.0,DL,RDU,ATL,306567720.0,DAL1666,2013-08-20 21:25:00+00,17:30:00,18:57:00,Mist,48.0,62.0,10.0,9.21,9.21,100.0,17356.29723,AAL1418,471,36.0,-84.47000122
66,7155.0,VX,SEA,SFO,306368522.0,VRD749,2013-08-18 22:30:00+00,13:15:00,15:20:00,Mist,57.0,95.0,6.21,4.6,4.6,80.0,17356.29723,SWA42O2,258,38.77000046,-89.97000122
67,4005.0,RP,ORD,SDF,306560535.0,CHQ5022,2013-08-20 16:15:00+00,19:50:00,21:00:00,Rain Showers,46.0,62.0,10.0,0.0,0.0,300.0,17356.29723,SWA595,439,38.72999954,-82.26999664
68,490.0,9K,OGS,ALB,308337702.0,KAP13,1970-01-01 01:00:00+00,20:59:00,22:10:00,Mist,53.0,59.0,10.0,9.21,9.21,220.0,17356.29723,OPT314,314,39.34999847,-107.3199997
69,1784.0,S5,DCA,LGA,306518525.0,TCF5906,2013-08-20 13:00:00+00,21:00:00,22:22:00,Mist,48.0,98.0,6.21,16.11,16.11,80.0,12000.0,AWE1731,453,39.15000153,-79.40000153
70,800.0,DL,ATL,MCO,306399392.0,DAL1003,2013-08-20 03:05:00+00,14:55:00,16:25:00,Mist,53.0,59.0,10.0,9.21,9.21,250.0,17356.29723,UAL710K,470,39.11999893,-114.0699997
71,2041.0,EV,TXK,DFW,306279637.0,ASQ2504,2013-08-17 17:15:00+00,22:30:00,23:30:00,Haze,33.0,82.0,5.9,12.66,12.66,330.0,17356.29723,ASQ4087,446,40.5,-83.19999695
72,656.0,EV,JAN,ATL,306739235.0,ASQ51O3,2013-08-22 23:41:00+00,19:10:00,20:30:00,Mist,57.0,60.0,4.0,0.0,0.0,250.0,17356.29723,GJS6259,371,38.70000076,-84.08000183
73,876.0,EV,ATW,ORD,306301118.0,ASQ5891,2013-08-18 23:22:00+00,18:13:00,19:05:00,Haze,60.0,62.0,10.0,3.45,3.45,40.0,12000.0,SKW2585,456,40.38000107,-122.0699997
74,22.0,AA,DFW,ORD,306520529.0,UAL641,2013-08-20 19:55:00+00,15:15:00,17:35:00,Mist,64.0,68.0,10.0,9.21,9.21,280.0,3000.0,CHQ6344,471,40.43000031,-82.75
75,1730.0,AA,SEA,DFW,306368224.0,ASA660,2013-08-19 06:50:00+00,00:15:00,03:50:00,Mist,77.0,80.0,10.0,6.9,6.9,130.0,17356.29723,EGF3232,465,38.34999847,-84.56999969
76,234.0,DL,SLC,LAS,306474158.0,DAL1483,2013-08-19 14:37:00+00,21:07:00,22:29:00,Drizzle,73.0,87.0,10.0,10.36,10.36,350.0,17356.29723,DAL2440,432,37.72000122,-111.4700012
77,483.0,OO,PSP,LAX,306566343.0,SKW63O2,2013-08-20 23:06:00+00,23:06:00,23:57:00,Haze,66.0,84.0,6.21,13.81,13.81,990.0,17356.29723,SWA2591,223,37.47999954,-122.1500015
78,3457.0,EV,ECP,ATL,306524504.0,ASQ4958,2013-08-20 22:25:00+00,23:55:00,01:09:00,Light Rain,64.0,75.0,5.9,11.51,11.51,320.0,17356.29723,SKW6423,456,38.47999954,-117.5999985
79,1664.0,AA,ORD,LGA,306560124.0,AAL35O,2013-08-20 23:05:00+00,19:40:00,22:00:00,Mist,46.0,80.0,6.21,6.9,6.9,210.0,17356.29723,AWE403,198,37.5,-122.0299988
80,8404.0,G7,LGA,PWM,306545936.0,TCF7321,2013-08-20 12:55:00+00,02:20:00,03:36:00,Mist,53.0,62.0,15.0,6.9,6.9,330.0,17356.29723,AAL59,437,38.27000046,-115.3300018
81,687.0,MQ,MIA,ATL,306452215.0,AAL1558,2013-08-19 17:30:00+00,20:05:00,22:05:00,Mist,55.0,59.0,10.0,8.06,8.06,10.0,17356.29723,TCF3568,420,40.90000153,-85.06999969
82,7714.0,MQ,MIA,EYW,306350725.0,EGF3501,2013-08-18 20:50:00+00,12:35:00,13:25:00,Light Rain,77.0,84.0,5.9,17.26,17.26,50.0,17356.29723,VRD201,443,38.29999924,-115.7799988
83,1730.0,9E,DTW,SBN,306523204.0,FLG3663,2013-08-20 18:00:00+00,00:05:00,01:01:00,Mist,46.0,48.0,10.0,0.0,0.0,990.0,17356.29723,FIV576,391,38.65000153,-82.59999847
84,223.0,MQ,DCA,RDU,306417199.0,JIA4561,2013-08-20 02:30:00+00,16:45:00,17:45:00,Thunderstorm in the vicinity,44.0,71.0,10.0,6.9,6.9,250.0,17356.29723,UAL398,420,38.45000076,-114.9800034
85,1244.0,DL,BWI,ATL,306407248.0,DAL1925,2013-08-19 14:05:00+00,14:10:00,15:57:00,Mist,46.0,50.0,15.0,11.51,11.51,170.0,17356.29723,TRS397,436,36.38000107,-84.62999725
86,2406.0,AX,BDL,ORD,306401399.0,LOF3358,2013-08-19 18:06:00+00,18:06:00,20:32:00,Thunderstorm,73.0,84.0,10.0,8.06,8.06,280.0,17356.29723,TRS1636,457,39.02000046,-85.75
87,3892.0,DL,MDT,ATL,306348996.0,FLG3655,2013-08-18 20:00:00+00,10:15:00,12:10:00,Light Rain Showers,42.0,77.0,10.0,0.0,0.0,10.0,17356.29723,ASQ57O1,408,40.97999954,-86.5
88,7125.0,UA,EWR,BOS,306525378.0,UAL1199,2013-08-20 12:02:00+00,10:11:00,11:31:00,Mist,55.0,84.0,8.06287664,3.45,3.45,170.0,17356.29723,TCF3497,314,42.02999878,-76.62999725
89,2782.0,S5,ORD,LGA,306560141.0,AAL344,2013-08-21 00:40:00+00,17:30:00,19:41:00,Light Rain,69.0,84.0,10.0,0.0,0.0,310.0,17356.29723,SWA913,469,35.75,-109.6999969
90,3221.0,CP,DFW,LGA,306419007.0,AAL762,2013-08-19 22:35:00+00,17:20:00,20:55:00,Light Drizzle,46.0,78.0,10.0,0.0,0.0,180.0,17356.29723,AWE1826,476,31.95000076,-86.66999817
91,527.0,S5,LGA,DCA,306545639.0,TCF5915,2013-08-20 16:59:00+00,14:59:00,16:19:00,Mist,55.0,60.0,5.0,0.0,0.0,240.0,53000.0,SWA1005,436,35.27999878,-108.6800003
92,345.0,DL,PDX,ATL,306262263.0,DAL1576,2013-08-18 05:30:00+00,20:05:00,00:40:00,Fog,50.0,71.0,5.9,5.75,5.75,280.0,17356.29723,AWI3765,420,40.22000122,-76.65000153
93,4222.0,EV,ORD,MCI,306560211.0,AAL1096,2013-08-20 18:15:00+00,03:00:00,04:36:00,Light Rain,44.0,50.0,8.06287664,4.6,4.6,200.0,17356.29723,FLG3889,293,42.22000122,-83.62999725
94,696.0,AA,MIA,LGA,306452440.0,AAL1256,2013-08-19 11:45:00+00,13:55:00,16:55:00,Shallow Fog,41.0,44.0,5.9,2.3,2.3,130.0,17356.29723,SWA168,341,39.70000076,-104.9000015
95,1571.0,9E,CLE,MSP,306513943.0,ASQ4214,2013-08-20 11:32:00+00,13:05:00,15:12:00,Thunderstorm in the vicinity,42.0,55.0,5.9,4.6,4.6,360.0,17356.29723,SKW468R,463,31.93000031,-96.27999878
96,1396.0,DL,JFK,SFO,306438244.0,UAL512,2013-08-19 21:05:00+00,14:00:00,20:19:00,Fog in the vicinity,73.0,98.0,6.21,6.71,6.71,300.0,39000.0,UAL333,278,30.31999969,-95.81999969
97,249.0,9E,CWA,MSP,306517595.0,FLG3782,2013-08-20 22:40:00+00,11:20:00,12:18:00,Mist,51.0,53.0,8.06287664,6.9,6.9,990.0,17356.29723,SWA312,308,34.97999954,-106.9300003
98,1728.0,DL,MSP,LGA,306454362.0,EGF3588,2013-08-19 21:55:00+00,00:25:00,03:07:00,Mist,68.0,71.0,10.0,6.9,6.9,330.0,17356.29723,ASQ47O8,414,30.75,-93.83000183
99,7529.0,DL,MIA,LAX,306350814.0,AAL287,2013-08-18 19:40:00+00,11:05:00,16:39:00,Rain reported recently,32.0,86.0,6.21,2.3,2.3,320.0,17356.29723,ASA682,244,40.09999847,-104.6999969
100,4591.0,AA,LGA,ORD,306445168.0,TCF5933,2013-08-19 11:15:00+00,10:00:00,12:30:00,Mist,39.0,71.0,10.0,8.06,8.06,290.0,17356.29723,ASQ4945,252,42.33000183,-83.12000275
101,238.0,AA,DFW,LAX,306418968.0,AAL2493,2013-08-20 00:35:00+00,13:50:00,17:00:00,Mist,46.0,57.0,10.0,0.0,0.0,290.0,17356.29723,DAL15O9,352,33.33000183,-84.93000031
102,6406.0,9K,BOS,ACK,307007518.0,KAP65,2013-08-25 16:27:00+00,11:05:00,11:50:00,Haze,68.0,71.0,6.0,2.3,2.3,290.0,17356.29723,UAL305,289,41.70000076,-88.33000183
103,639.0,AA,DFW,BNA,306318623.0,AAL1292,2013-08-18 19:35:00+00,19:35:00,21:25:00,Rain,50.0,59.0,15.0,17.26,17.26,250.0,17356.29723,VRD407,459,37.29999924,-98.90000153
104,3987.0,S5,IAH,LGA,306333882.0,UAL1277,2013-08-18 20:34:00+00,12:00:00,15:42:00,Light Rain,71.0,89.0,8.06287664,8.06,8.06,300.0,17356.29723,AAL2423,460,33.97999954,-103.7699966
105,1834.0,EV,VPS,ATL,306583471.0,ASQ5551,2013-08-20 12:45:00+00,12:45:00,13:59:00,Light Rain,28.0,75.0,6.21,11.51,11.51,260.0,17356.29723,DAL1316,198,40.02999878,-104.6800003
106,505.0,MQ,ORD,FAR,306559924.0,SKW5227,2013-08-21 01:07:00+00,01:15:00,03:05:00,Light Rain,60.0,71.0,10.0,6.9,6.9,240.0,17356.29723,DAL1641,472,29.75,-95.12999725
107,7670.0,DL,TPA,ATL,306579585.0,TRS553,2013-08-20 19:41:00+00,11:08:00,12:40:00,Drizzle,51.0,60.0,10.0,6.9,6.9,300.0,17356.29723,DAL1760,485,34.41999817,-113.8700027
108,1315.0,DL,ATL,BHM,306299858.0,DAL325,2013-08-19 01:15:00+00,00:50:00,01:48:00,Shallow Fog,48.0,53.0,10.0,6.9,6.9,280.0,17356.29723,RPA3207,365,39.97999954,-73.47000122
109,210.0,OO,LAX,PHX,306443755.0,SKW2657,2013-08-20 05:15:00+00,15:15:00,16:41:00,Mist,62.0,71.0,10.0,8.06,8.06,290.0,17356.29723,FLG4195,163,42.40000153,-83.19999695
110,515.0,OO,LAX,MRY,306544389.0,SKW5350,2013-08-20 15:35:00+00,23:40:00,00:45:00,Fog,59.0,59.0,15.0,4.6,4.6,360.0,17356.29723,TRS171,430,41.22000122,-73.68000031
111,646.0,AA,DEN,DFW,306519294.0,AAL828,2013-08-21 00:01:00+00,19:20:00,21:20:00,Unknown Precipitation,64.0,98.0,10.0,11.51,11.51,300.0,17356.29723,KAL259,254,40.27999878,-73.84999847
112,995.0,DL,ATL,DEN,306398986.0,DAL1816,2013-08-19 12:15:00+00,13:51:00,17:05:00,Mist,53.0,55.0,10.0,0.0,0.0,170.0,17356.29723,UAL338,443,31.12000084,-88.90000153
113,596.0,OO,LAX,OAK,306558496.0,SKW4452,2013-08-20 19:35:00+00,03:10:00,04:36:00,Light Rain,57.0,84.0,5.9,9.21,9.21,250.0,17356.29723,SWA1437,441,29.25,-93.77999878
114,510.0,MQ,ORD,BNA,306459368.0,ASQ6O57,2013-08-20 02:05:00+00,12:10:00,13:30:00,Mist,37.0,102.0,5.9,6.596111013,6.596111013,280.0,17356.29723,DAL1886,319,40.25,-74.44999695
115,330.0,9K,STL,UIN,307475316.0,KAP3212,2013-08-29 21:45:00+00,14:25:00,15:15:00,Light Rain,59.0,102.0,6.21,10.36,10.36,130.0,17356.29723,SWA19,423,31.29999924,-96.76999664
116,1334.0,AA,SFO,LAX,306369018.0,UAL237,2013-08-19 02:05:00+00,14:35:00,16:05:00,Mist,44.0,46.0,10.0,0.0,0.0,300.0,17356.29723,AWE559,472,40.93000031,-93.44999695
117,7412.0,AA,ORD,LGA,306357921.0,UAL1583,2013-08-18 23:00:00+00,17:15:00,19:29:00,Light Drizzle,50.0,62.0,5.9,11.51,11.51,250.0,17356.29723,EGF3741,434,31.45000076,-91.98000336
118,1629.0,DL,JFK,LAX,306438001.0,DAL12O,2013-08-20 13:00:00+00,11:00:00,17:10:00,Light Rain,26.0,93.0,6.21,11.51,11.51,210.0,17356.29723,FLG3835,405,44.22999954,-90.26999664
119,1872.0,AA,LGA,DFW,306445004.0,AAL715,2013-08-19 11:50:00+00,23:10:00,03:10:00,Fog,73.0,84.0,10.0,8.06,8.06,70.0,17356.29723,SWA220,435,31.39999962,-99.87000275
120,5170.0,DL,ATL,GSO,306429272.0,ASQ4920,2013-08-19 16:07:00+00,18:55:00,20:12:00,Mist,51.0,60.0,10.0,0.0,0.0,80.0,17356.29723,SKW4607,350,43.02999878,-86.12999725
